Time,Y,Yd,Ydd
3.35642,134.447,-3457.08,3711.41
3.36838,93.3442,-3412.67,3711.41
3.38035,52.7728,-3368.25,3711.41
3.39232,12.7326,-3323.84,3711.41
3.40428,-26.7762,-3279.43,3711.41
3.41625,-65.7534,-3235.02,3711.41
3.42822,-104.199,-3190.6,3711.41
3.44018,-142.114,-3146.19,3711.41
3.45215,-179.497,-3101.78,3711.41
3.46411,-216.348,-3057.37,3711.41
3.47608,-252.668,-3012.96,3711.41
3.48805,-288.457,-2968.54,3711.41
3.50001,-323.714,-2924.13,3711.41
3.51198,-358.439,-2879.72,3711.41
3.52395,-392.633,-2835.31,3711.41
3.53591,-426.296,-2790.89,3711.41
3.54788,-459.427,-2746.48,3711.41
3.55985,-492.027,-2702.07,3711.41
3.57181,-524.095,-2657.66,3711.41
3.58378,-555.632,-2613.25,3711.41
3.59575,-586.638,-2568.83,3711.41
3.60771,-617.112,-2524.42,3711.41
3.61968,-647.054,-2480.01,3711.41
3.63164,-676.465,-2435.6,3711.41
3.64361,-705.345,-2391.18,3711.41
3.65558,-733.693,-2346.77,3711.41
3.66754,-761.51,-2302.36,3711.41
3.67951,-788.795,-2257.95,3711.41
3.69148,-815.549,-2213.54,3711.41
3.70344,-841.771,-2169.12,3711.41
3.71541,-867.462,-2124.71,3711.41
3.72738,-892.621,-2080.3,3711.41
3.73934,-917.25,-2035.89,3711.41
3.75131,-941.346,-1991.47,3711.41
3.76328,-964.911,-1947.06,3711.41
3.77524,-987.944,-1902.65,3711.41
3.78721,-1010.45,-1858.24,3711.41
3.79917,-1032.42,-1813.83,3711.41
3.81114,-1053.86,-1769.41,3711.41
3.82311,-1074.76,-1725,3711.41
3.83507,-1095.14,-1680.59,3711.41
3.84704,-1114.99,-1636.18,3711.41
3.85901,-1134.3,-1591.76,3711.41
3.87097,-1153.08,-1547.35,3711.41
3.88294,-1171.33,-1502.94,3711.41
3.89491,-1189.05,-1458.53,3711.41
3.90687,-1206.24,-1414.11,3711.41
3.91884,-1222.89,-1369.7,3711.41
3.9308,-1239.02,-1325.29,3711.41
3.94277,-1254.61,-1280.88,3711.41
3.95474,-1269.67,-1236.47,3711.41
3.9667,-1284.2,-1192.05,3711.41
3.97867,-1298.2,-1147.64,3711.41
3.99064,-1311.67,-1103.23,3711.41
4.0026,-1324.61,-1058.82,3711.41
4.01457,-1337.01,-1014.4,3711.41
4.02654,-1348.88,-969.99,3711.41
4.0385,-1360.23,-925.578,3711.41
4.05047,-1371.04,-881.166,3711.41
4.06244,-1381.31,-836.753,3711.41
4.0744,-1391.06,-792.341,3711.41
4.08637,-1400.28,-747.928,3711.41
4.09834,-1408.96,-703.516,3711.41
4.1103,-1417.12,-659.103,3711.41
4.12227,-1424.74,-614.691,3711.41
4.13423,-1431.83,-570.278,3711.41
4.1462,-1438.39,-525.866,3711.41
4.15817,-1444.41,-481.454,3711.41
4.17013,-1449.91,-437.041,3711.41
4.1821,-1454.87,-392.628,3711.41
4.19407,-1459.3,-348.216,3711.41
4.20603,-1463.21,-303.804,3711.41
4.218,-1466.58,-259.391,3711.41
4.22997,-1469.41,-214.979,3711.41
4.24193,-1471.72,-170.566,3711.41
4.2539,-1473.5,-126.154,3711.41
4.26587,-1474.74,-81.7412,3711.41
4.27783,-1475.45,-37.3286,3711.41
4.2898,-1475.63,7.0835,3711.41
4.30177,-1475.28,51.4961,3711.41
4.31373,-1474.4,95.9087,3711.41
4.3257,-1472.99,140.321,3711.41
4.33766,-1471.04,184.733,3711.41
4.34963,-1468.57,229.146,3711.41
4.3616,-1465.56,273.559,3711.41
4.37356,-1462.02,317.971,3711.41
4.38553,-1457.95,362.383,3711.41
4.3975,-1453.35,406.796,3711.41
4.40946,-1448.21,451.208,3711.41
4.42143,-1442.55,495.621,3711.41
4.4334,-1436.35,540.033,3711.41
4.44536,-1429.62,584.446,3711.41
4.45733,-1422.36,628.858,3711.41
4.4693,-1414.57,673.271,3711.41
4.48126,-1406.25,717.683,3711.41
4.49323,-1397.4,762.096,3711.41
4.5052,-1388.01,806.508,3711.41
4.51716,-1378.09,850.92,3711.41
4.52913,-1367.65,895.333,3711.41
4.54109,-1356.67,939.746,3711.41
4.55306,-1345.16,984.158,3711.41
4.56503,-1333.11,1028.57,3711.41
4.57699,-1320.54,1072.98,3711.41
4.58896,-1307.43,1117.4,3711.41
4.60093,-1293.8,1161.81,3711.41
4.61289,-1279.63,1206.22,3711.41
